year,month,prcp
1895,Jan,108.28900146484375
1895,Feb,37.625
1895,Mar,45.220001220703125
1895,Apr,20.304000854492188
1895,May,13.218000411987305
1895,Jun,0
1895,Jul,1.1720000505447388
1895,Aug,0
1895,Sep,18.552000045776367
1895,Oct,7.142000198364258
1895,Nov,28.527000427246094
1895,Dec,8.47700023651123
1896,Jan,92.003997802734375
1896,Feb,2.2090001106262207
1896,Mar,56.00299835205078
1896,Apr,63.80799865722656
1896,May,15.00100040435791
1896,Jun,0
1896,Jul,8.177000045776367
1896,Aug,7.453000068664551
1896,Sep,6.328000068664551
1896,Oct,30.80699920654297
1896,Nov,34.20100021362305
1896,Dec,27.58300018310547
1897,Jan,75.9010009765625
1897,Feb,92.50800323486328
1897,Mar,66.31999969482422
1897,Apr,3.9200000762939453
1897,May,3.2139999866485596
1897,Jun,1.468000054359436
1897,Jul,0
1897,Aug,0
1897,Sep,2.3329999446868896
1897,Oct,41.89500045776367
1897,Nov,0
1897,Dec,4.841000080108643
1898,Jan,26.597999572753906
1898,Feb,18.066999435424805
1898,Mar,11.380999565124512
1898,Apr,3.7060000896453857
1898,May,31.718000411987305
1898,Jun,0.007000000216066837
1898,Jul,0
1898,Aug,0
1898,Sep,16.486000061035156
1898,Oct,8.2089996337890625
1898,Nov,0
1898,Dec,23.68199920654297
1899,Jan,62.48400115966797
1899,Feb,9.008000373840332
1899,Mar,91.875
1899,Apr,10.520000457763672
1899,May,12.133999824523926
1899,Jun,10.76200008392334
1899,Jul,0
1899,Aug,0
1899,Sep,0
1899,Oct,49.83100128173828
1899,Nov,30.81399917602539
1899,Dec,20.868000030517578
1900,Jan,34.14099884033203
1900,Feb,4.123000144958496
1900,Mar,29.763999938964844
1900,Apr,29.44499969482422
1900,May,44.86199951171875
1900,Jun,0
1900,Jul,0
1900,Aug,0
1900,Sep,2.055999994277954
1900,Oct,13.324999809265137
1900,Nov,117.86299896240234
1900,Dec,0.25600001215934753
1901,Jan,67.77799987792969
1901,Feb,115.99400329589844
1901,Mar,10.980999946594238
1901,Apr,28.763999938964844
1901,May,32.944000244140625
1901,Jun,0
1901,Jul,0
1901,Aug,0.03700000047683716
1901,Sep,7.164999961853027
1901,Oct,31.5049991607666
1901,Nov,11.817999839782715
1901,Dec,0.07199999690055847
1902,Jan,23.988000869750977
1902,Feb,92.49199676513672
1902,Mar,64.75
1902,Apr,20.344999313354492
1902,May,7.506999969482422
1902,Jun,0
1902,Jul,0
1902,Aug,0
1902,Sep,0
1902,Oct,13.789999961853027
1902,Nov,37.16899871826172
1902,Dec,27.518999099731445
1903,Jan,33.97999954223633
1903,Feb,35.94499969482422
1903,Mar,109.41600036621094
1903,Apr,49.04899978637695
1903,May,0
1903,Jun,0
1903,Jul,0
1903,Aug,0
1903,Sep,2.4200000762939453
1903,Oct,0.35600000619888306
1903,Nov,3.489000082015991
1903,Dec,2.006999969482422
1904,Jan,14.83899974822998
1904,Feb,75.022003173828125
1904,Mar,91.8740005493164
1904,Apr,33.060001373291016
1904,May,4.311999797821045
1904,Jun,0
1904,Jul,0
1904,Aug,5.050000190734863
1904,Sep,52.249000549316406
1904,Oct,16.854000091552734
1904,Nov,0
1904,Dec,31.461999893188477
1905,Jan,47.90700149536133
1905,Feb,127.2770004272461
1905,Mar,124.63099670410156
1905,Apr,11.887999534606934
1905,May,51.327999114990234
1905,Jun,0
1905,Jul,0
1905,Aug,0
1905,Sep,0.8109999895095825
1905,Oct,0.546999990940094
1905,Nov,38.43000030517578
1905,Dec,11.20300006866455
1906,Jan,52.40700149536133
1906,Feb,65.05899810791016
1906,Mar,172.8780059814453
1906,Apr,27.545000076293945
1906,May,61.486000061035156
1906,Jun,0
1906,Jul,0
1906,Aug,0
1906,Sep,0
1906,Oct,0
1906,Nov,21.784000396728516
1906,Dec,94.46600341796875
1907,Jan,137.4290008544922
1907,Feb,39.76300048828125
1907,Mar,113.13200378417969
1907,Apr,4.5289998054504395
1907,May,0.7820000052452087
1907,Jun,1.371999979019165
1907,Jul,0
1907,Aug,0
1907,Sep,0
1907,Oct,62.99700164794922
1907,Nov,0
1907,Dec,26.69300079345703
1908,Jan,76.56600189208984
1908,Feb,96.3759994506836
1908,Mar,6.968999862670898
1908,Apr,11.32800006866455
1908,May,14.583000183105469
1908,Jun,0
1908,Jul,0
1908,Aug,0.08799999952316284
1908,Sep,33.17599868774414
1908,Oct,8.800999641418457
1908,Nov,22.503000259399414
1908,Dec,21.594999313354492
1909,Jan,122.48200225830078
1909,Feb,121.5260009765625
1909,Mar,89.80899810791016
1909,Apr,0.08900000154972076
1909,May,0
1909,Jun,1.3450000286102295
1909,Jul,0
1909,Aug,3.374000072479248
1909,Sep,0
1909,Oct,12.362000465393066
1909,Nov,36.0880012512207
1909,Dec,107.04299926757813
1910,Jan,53.42399978637695
1910,Feb,10.42300033569336
1910,Mar,58.77799987792969
1910,Apr,9.708000183105469
1910,May,0
1910,Jun,0
1910,Jul,1.9359999895095825
1910,Aug,0
1910,Sep,22.993999481201172
1910,Oct,17.70599937438965
1910,Nov,5.679999828338623
1910,Dec,12.442999839782715
1911,Jan,106.22000122070313
1911,Feb,74.20800018310547
1911,Mar,131.6060028076172
1911,Apr,17.43000030517578
1911,May,1.4390000104904175
1911,Jun,0.5649999976158142
1911,Jul,0
1911,Aug,0
1911,Sep,8.687999725341797
1911,Oct,1.9570000171661377
1911,Nov,1.8830000162124634
1911,Dec,17.95800018310547
1912,Jan,13.574000358581543
1912,Feb,0
1912,Mar,141.6820068359375
1912,Apr,37.814998626708984
