year,name,scPDSI,month,lon,lat,time,time_new,PRECT,TREFHT,SOILWATER_10CM,temp_c,precip_mmmonth,temp_scaled,precip_scaled,avg_day,solstice,spi,water_year,avg_solstice,PET,soil_scaled
1876,MAY,-2.8,5,240,35.05263,9641,1876-05-01,5.321569851446384e-9,293.2574462890625,17.038345336914063,20.107446289062523,13.793509054949027,0.29982035925967565,-0.27989573413905733,14.00483240225569,1876-06-01,-0.5433754148368708,1876,14.47100859456779,93.36559854202788,-0.3320921559194007
1876,JUN,-2.94,6,240,35.05263,9671,1876-06-01,1.3012589616945291e-10,296.1028137207031,14.814826011657715,22.952813720703148,0.33728632287122196,0.7947026566984096,-0.5814203624676365,14.47100859456779,1876-06-01,-1.0500829510716434,1876,14.47100859456779,121.45974671393255,-0.7734751770366639
1876,JUL,-2.74,7,240,35.05263,9702,1876-07-01,1.4081630306250759e-10,300.56329345703125,14.420913696289063,27.413293457031273,0.36499585753801966,1.570494364667808,-0.5807994521789233,14.244414096048924,1876-06-01,-0.7348332887193447,1876,14.47100859456779,175.33252495259808,-0.8516693289101436
1876,AUG,-2.55,8,240,35.05263,9733,1876-08-01,1.4923212665607366e-10,299.49774169921875,14.589225769042969,26.347741699218773,0.3868096722925429,1.3851676135135362,-0.5803106521257994,13.441588519598946,1876-06-01,0.17093554826601678,1876,14.47100859456779,152.9631661505446,-0.8182582897890588
1876,SEP,-2.5,9,240,35.05263,9763,1876-09-01,2.277589367105648e-10,296.0614318847656,14.792184829711914,22.911431884765648,0.590351163953784,0.7875052951860602,-0.5757497308446514,12.393583267876858,1876-06-01,0.32658887968476275,1876,14.47100859456779,103.23512414511607,-0.7779695986391165
1876,OCT,-2.69,10,240,35.05263,9794,1876-10-01,4.1238176762270484e-10,294.63397216796875,14.973380088806152,21.483972167968773,1.068893541678051,0.5392334775310865,-0.565026638974389,11.29901485202334,1876-06-01,-1.1788656044512793,1877,14.47100859456779,85.47623128980594,-0.7420011633920248
1876,NOV,-2.97,11,240,35.05263,9824,1876-11-01,7.476523844474059e-10,288.9327697753906,15.116761207580566,15.782769775390648,1.937914980487676,-0.45235168887937244,-0.5455537622567651,10.341460736065331,1876-06-01,-1.9503860481787725,1877,14.47100859456779,41.25415477972143,-0.713539080487246
1876,DEC,-2.93,12,240,35.05263,9855,1876-12-01,1.216521816616023e-8,285.37017822265625,20.47335433959961,12.220178222656273,31.532245486687316,-1.0719776369547112,0.1175906939688858,9.845531363203861,1876-06-01,-0.8737872141491049,1877,14.47100859456779,24.607653095585395,0.34977943114024745
1877,JAN,-3.28,1,240,35.05263,9886,1877-01-01,1.3144147992250055e-9,284.6153869628906,18.212383270263672,11.465386962890648,3.406963159591214,-1.2032551755129253,-0.5126355938360665,10.088491906083629,1877-06-01,-1.3374162822393525,1877,14.46626781048572,22.21600980230287,-0.09903800431297122
1877,FEB,-2.47,2,240,35.05263,9914,1877-02-01,4.721496793536062e-8,287.7220153808594,27.32509422302246,14.572015380859398,122.38119688845472,-0.6629328987915782,2.153317721595845,10.896458800485304,1877-06-01,-0.15716252906022357,1877,14.46626781048572,34.78703599772171,1.7098942793915262
1877,MAR,-2.53,3,240,35.05263,9945,1877-03-01,1.7503488436432235e-8,288.1304016113281,25.692747116088867,14.980401611328148,45.369042027232354,-0.591904070061298,0.42764315201866304,11.944067854103979,1877-06-01,-0.10391617132250405,1877,14.46626781048572,44.464030026051226,1.3858627814924427
1877,APR,-2.52,4,240,35.05263,9975,1877-04-01,6.260901574961508e-9,290.3321838378906,19.669048309326172,17.182183837890648,16.22825688230023,-0.20895772906352053,-0.22533834100332945,13.045324282057523,1877-06-01,-0.043552853521378006,1877,14.46626781048572,61.82557471164528,0.19011946258836887
1877,MAY,-2.51,5,240,35.05263,10006,1877-05-01,1.9434956421982008e-10,295.4994201660156,16.98949432373047,22.349420166015648,0.5037540704577737,0.6897570580094916,-0.5776901830020369,13.979989855464412,1877-06-01,-0.041105288702231124,1877,14.46626781048572,114.83538720509345,-0.34178939917638385
1877,JUN,-2.81,6,240,35.05263,10036,1877-06-01,1.5589517177172496e-10,298.21551513671875,15.432914733886719,25.065515136718773,0.4040802852323111,1.1621555624052224,-0.5799236553250362,14.46626781048572,1877-06-01,0.3226773589738747,1877,14.46626781048572,144.3132808989759,-0.6507805530515568
1877,JUL,-0,7,240,35.05263,10067,1877-07-01,2.538222687586966e-10,300.1513671875,14.741145133972168,27.001367187500023,0.6579073206225416,1.4988498324453208,-0.5742359445885503,14.262317442433304,1877-06-01,-0.4199296789873925,1877,14.46626781048572,170.2111361195155,-0.7881013095923901
1877,AUG,-0.04,8,240,35.05263,10098,1877-08-01,2.1463313765179848e-11,299.06378173828125,14.615991592407227,25.913781738281273,0.055632909279346165,1.3096908578309339,-0.5877316017018321,13.473135269755607,1877-06-01,-0.7596820562511624,1877,14.46626781048572,148.0692409467874,-0.8129451000879326
1877,SEP,0.17,9,240,35.05263,10128,1877-09-01,4.6123544983345255e-9,297.5536193847656,15.565550804138184,24.403619384765648,11.95522285968309,1.0470349327287132,-0.3210877218777688,12.429554580453303,1877-06-01,0.19542979116823733,1877,14.46626781048572,116.80989747553147,-0.6244514320352761
1877,OCT,0.04,10,240,35.05263,10159,1877-10-01,1.7300055832336625e-9,293.66424560546875,15.428536415100098,20.514245605468773,4.484174471741653,0.370573182976208,-0.48849763573336585,11.333977833361352,1877-06-01,0.22256424681094006,1878,14.46626781048572,78.08551893089432,-0.6516496777546805
1877,NOV,0.38,11,240,35.05263,10189,1877-11-01,2.3204234977924898e-8,287.8789367675781,20.611236572265625,14.728936767578148,60.145377062781336,-0.6356402491628904,0.7587486203482956,10.367725127067954,1877-06-01,1.1182031753033257,1878,14.46626781048572,36.03343088155728,0.37714994945382363
1877,DEC,0.16,12,240,35.05263,10220,1877-12-01,7.90980791975926e-9,285.3680419921875,24.37662696838379,12.218041992187523,20.502222128016,-1.0723491821655258,-0.12956809344852244,9.850662733582775,1877-06-01,0.4440210717298803,1878,14.46626781048572,24.599231213464847,1.1246043879408627
1878,JAN,0.5,1,240,35.05263,10251,1878-01-01,4.268368769544395e-8,282.9773254394531,22.369176864624023,9.827325439453148,110.63611850659072,-1.4881560431654826,1.8901361093192226,10.088491906083629,1878-06-01,0.8413284550638533,1878,14.46626781048572,16.4275854473568,0.7261125100087938
1878,FEB,0.92,2,240,35.05263,10279,1878-02-01,7.723097183998107e-8,286.6612548828125,32.287269592285156,13.511254882812523,200.18267900923092,-0.8474263271158803,3.8966793949989182,10.896458800485304,1878-06-01,1.2071857485422175,1878,14.46626781048572,30.001939859217774,2.6949183045577256
1878,MAR,0.94,3,240,35.05263,10310,1878-03-01,2.4883357596650058e-8,285.6896057128906,28.930435180664063,12.539605712890648,64.49766289051695,-1.016421012360492,0.8562738614740484,11.944067854103979,1878-06-01,1.1641647891908264,1878,14.46626781048572,31.388928679235402,2.028564881332636
1878,APR,0.77,4,240,35.05263,10340,1878-04-01,2.495511797206973e-9,289.2471618652344,21.898618698120117,16.097161865234398,6.468366578360474,-0.39767084942493014,-0.44403621447177244,13.045324282057523,1878-06-01,0.9115768586286499,1878,14.46626781048572,54.4127773450421,0.6327036591012583
1878,MAY,0.91,5,240,35.05263,10371,1878-05-01,6.392302687174833e-9,292.2188720703125,18.85898780822754,19.068872070312523,16.568848565157168,0.11918569333911844,-0.2177064235900996,13.979989855464412,1878-06-01,1.0925895993827701,1878,14.46626781048572,84.15718972130131,0.029317194219751333
1878,JUN,0.95,6,240,35.05263,10401,1878-06-01,2.9229088593929475e-10,294.8641357421875,16.330171585083008,21.714135742187523,0.757617976354652,0.5792648201019858,-0.5720016460778433,14.46626781048572,1878-06-01,1.0120757410705594,1878,14.46626781048572,108.95781530441778,-0.47266924311116654
1878,JUL,-0.04,7,240,35.05263,10432,1878-07-01,6.974495200123831e-12,297.72918701171875,15.09768295288086,24.579187011718773,0.01807789155872097,1.077570641268939,-0.5885731278110196,14.262317442433304,1878-06-01,0.0678394460111175,1878,14.46626781048572,141.60132370776543,-0.7173262379008792
1878,AUG,-0.02,8,240,35.05263,10463,1878-08-01,3.2601718547020653e-10,299.4453125,14.64599323272705,26.295312500000023,0.8450365447387753,1.3760488324824032,-0.5700427864583304,13.473135269755607,1878-06-01,-0.39934168015418714,1878,14.46626781048572,152.36776823507697,-0.8069895797142517
1878,SEP,-0.17,9,240,35.05263,10493,1878-09-01,2.3207595567509287e-10,296.343017578125,14.940437316894531,23.193017578125023,0.6015408771098407,0.836480261760137,-0.5754989937568623,12.429554580453303,1878-06-01,0.5323098181660653,1878,14.46626781048572,105.73396883685281,-0.7485405174804594
1878,OCT,-0.43,10,240,35.05263,10524,1878-10-01,7.852395955687541e-10,292.28961181640625,14.994102478027344,19.139611816406273,2.0353410317142107,0.13148914760580424,-0.5433706567545373,11.333977833361352,1878-06-01,-0.9062918617641643,1879,14.46626781048572,68.16977614976696,-0.7378876346021804
1878,NOV,-0.82,11,240,35.05263,10554,1878-11-01,1.0445881937215518e-9,287.5928649902344,15.293604850769043,14.442864990234398,2.707572598126262,-0.6853954606796776,-0.5283074122431384,10.367725127067954,1878-06-01,-1.6852754230358602,1879,14.46626781048572,34.67588746525359,-0.6784344692480726
1878,DEC,-1.39,12,240,35.05263,10585,1878-12-01,1.324240717082148e-10,285.1697082519531,15.871408462524414,12.019708251953148,0.34324319386769275,-1.106844501095289,-0.5812868819695075,9.850662733582775,1878-06-01,-2.4193618142676354,1879,14.46626781048572,23.823465528322682,-0.5637367012223105
1879,JAN,-1.08,1,240,35.05263,10616,1879-01-01,2.8196224022281058e-8,286.0725402832031,24.1063232421875,12.922540283203148,73.0846126657525,-0.9498188794276301,1.0486886937049262,10.088491906083629,1879-06-01,-0.5466885510651945,1879,14.46626781048572,28.080204866709888,1.0709473434831913
1879,FEB,-1.37,2,240,35.05263,10644,1879-02-01,1.857447706754556e-8,288.5998840332031,23.134109497070313,15.449884033203148,48.14504455907809,-0.5102490483017231,0.4898473194376971,10.896458800485304,1879-06-01,-0.4543761650396613,1879,14.46626781048572,39.00862925019345,0.8779566034804794
1879,MAR,-1.39,3,240,35.05263,10675,1879-03-01,1.9164893672041217e-8,288.1029052734375,25.20167350769043,14.952905273437523,49.67540439793083,-0.5966863877033531,0.524139348546211,11.944067854103979,1879-06-01,-0.3223539827945932,1879,14.46626781048572,44.304374854472236,1.2883814821829036
1879,APR,-1.35,4,240,35.05263,10705,1879-04-01,8.403923779098932e-9,288.8614807128906,20.882978439331055,15.711480712890648,21.78297043542443,-0.46475068334312486,-0.10086931481927236,13.045324282057523,1879-06-01,-0.21818773800017827,1879,14.46626781048572,51.88946980762828,0.43109247421040836
